ip_range,isp,country,location,asset_type,criticality,last_activity,vulnerabilities,data_classification,network_zone,connected_assets,notes,relations
103.179.92.0/24,Cloudflare,Germany,Tokyo,Office Network,Critical,2025-02-28,4,Secret,IoT,24,,"[{'source': '103.179.92.0/24', 'target': 'Cloudflare', 'relation': 'managed_by'}]"
131.149.52.0/24,Cloudflare,France,New York,Datacenter,High,2025-02-27,1,Internal,DMZ,44,,"[{'source': '131.149.52.0/24', 'target': 'Cloudflare', 'relation': 'hosts'}]"
89.48.218.0/24,ISP_C,Japan,Sao Paulo,Office Network,Critical,2025-02-20,4,Public,Restricted,18,,"[{'source': '89.48.218.0/24', 'target': 'ISP_C', 'relation': 'managed_by'}]"
132.88.59.0/32,ISP_B,Singapore,Toronto,SCADA,High,2025-02-11,3,Confidential,IoT,8,,"[{'source': '132.88.59.0/32', 'target': 'ISP_B', 'relation': 'monitors'}]"
175.34.205.0/24,ISP_D,USA,Sydney,External Service,Medium,2025-02-17,1,Secret,Internal,29,,"[{'source': '175.34.205.0/24', 'target': 'ISP_D', 'relation': 'served_by'}]"
191.145.217.0/16,ISP_B,Singapore,Sao Paulo,Office Network,Low,2025-03-03,3,Public,Internal,40,,"[{'source': '191.145.217.0/16', 'target': 'ISP_B', 'relation': 'managed_by'}]"
213.207.236.0/24,Google Cloud,Australia,Singapore,VPN Gateway,Medium,2025-02-26,0,Public,Restricted,45,,"[{'source': '213.207.236.0/24', 'target': 'Google Cloud', 'relation': 'provides_access'}]"
65.88.70.0/24,Cloudflare,Italy,Sydney,SCADA,Low,2025-02-22,2,Confidential,DMZ,5,,"[{'source': '65.88.70.0/24', 'target': 'Cloudflare', 'relation': 'monitors'}]"
234.230.249.0/24,Azure,Canada,Sydney,Office Network,Critical,2025-02-16,4,Confidential,IoT,40,,"[{'source': '234.230.249.0/24', 'target': 'Azure', 'relation': 'managed_by'}]"
214.218.34.0/24,ISP_C,Germany,London,External Service,Medium,2025-02-25,2,Public,Restricted,15,,"[{'source': '214.218.34.0/24', 'target': 'ISP_C', 'relation': 'served_by'}]"
90.41.123.0/8,ISP_C,Japan,Milan,Datacenter,Medium,2025-02-09,4,Confidential,Restricted,45,,"[{'source': '90.41.123.0/8', 'target': 'ISP_C', 'relation': 'hosts'}]"
143.170.28.0/16,Azure,UK,Paris,IoT Devices,Medium,2025-02-09,0,Public,Internal,28,,"[{'source': '143.170.28.0/16', 'target': 'Azure', 'relation': 'part_of'}]"
28.107.43.0/16,Azure,Canada,Tokyo,IoT Devices,High,2025-02-12,0,Secret,DMZ,41,,"[{'source': '28.107.43.0/16', 'target': 'Azure', 'relation': 'part_of'}]"
3.102.197.0/24,Akamai,Germany,Milan,SCADA,Medium,2025-02-24,2,Internal,IoT,32,,"[{'source': '3.102.197.0/24', 'target': 'Akamai', 'relation': 'monitors'}]"
216.232.179.0/24,ISP_A,Singapore,Sao Paulo,Datacenter,Medium,2025-03-08,0,Public,DMZ,17,,"[{'source': '216.232.179.0/24', 'target': 'ISP_A', 'relation': 'hosts'}]"
187.112.1.0/24,AWS,Japan,Frankfurt,Datacenter,Medium,2025-02-09,1,Public,IoT,26,,"[{'source': '187.112.1.0/24', 'target': 'AWS', 'relation': 'hosts'}]"
160.197.159.0/16,Azure,Australia,Milan,External Service,Medium,2025-02-19,1,Internal,Internal,11,,"[{'source': '160.197.159.0/16', 'target': 'Azure', 'relation': 'served_by'}]"
240.143.96.0/24,AWS,UK,Sao Paulo,Datacenter,High,2025-02-13,2,Confidential,Restricted,20,,"[{'source': '240.143.96.0/24', 'target': 'AWS', 'relation': 'hosts'}]"
96.198.51.0/24,ISP_A,Australia,Tokyo,IoT Devices,High,2025-02-11,0,Public,Internal,23,,"[{'source': '96.198.51.0/24', 'target': 'ISP_A', 'relation': 'part_of'}]"
159.221.41.0/24,Azure,Singapore,Toronto,Office Network,High,2025-03-10,3,Public,DMZ,32,,"[{'source': '159.221.41.0/24', 'target': 'Azure', 'relation': 'managed_by'}]"
247.8.232.0/24,ISP_C,UK,Sao Paulo,IoT Devices,Low,2025-02-15,3,Confidential,DMZ,8,,"[{'source': '247.8.232.0/24', 'target': 'ISP_C', 'relation': 'part_of'}]"
164.165.103.0/16,ISP_C,Canada,London,VPN Gateway,High,2025-02-25,1,Internal,Internal,35,,"[{'source': '164.165.103.0/16', 'target': 'ISP_C', 'relation': 'provides_access'}]"
208.188.168.0/16,ISP_A,Brazil,Milan,Office Network,High,2025-02-15,2,Public,IoT,33,,"[{'source': '208.188.168.0/16', 'target': 'ISP_A', 'relation': 'managed_by'}]"
176.203.186.0/24,AWS,Japan,Paris,Datacenter,Low,2025-02-26,2,Internal,IoT,27,,"[{'source': '176.203.186.0/24', 'target': 'AWS', 'relation': 'hosts'}]"
27.225.20.0/32,ISP_A,Italy,Frankfurt,Datacenter,Medium,2025-03-07,2,Secret,DMZ,17,,"[{'source': '27.225.20.0/32', 'target': 'ISP_A', 'relation': 'hosts'}]"
192.168.1.0/24,ISP_A,Italy,Milan,SCADA,High,2024-03-15,2,Internal,Internal,10,Industrial control system,"[{'source': '192.168.1.0/24', 'target': 'ISP_A', 'relation': 'belongs_to'}, {'source': 'SCADA_Milan', 'target': '192.168.1.0/24', 'relation': 'monitors'}]"
10.0.0.0/8,ISP_B,USA,New York,Datacenter,Critical,2024-03-18,4,Secret,DMZ,25,,"[{'source': '10.0.0.0/8', 'target': 'ISP_B', 'relation': 'belongs_to'}, {'source': 'Datacenter_USA', 'target': '10.0.0.0/8', 'relation': 'hosted_in'}, {'source': 'IoT_Device_01', 'target': '10.0.0.0/8', 'relation': 'part_of'}, {'source': 'Datacenter_NewYork', 'target': '10.0.0.0/8', 'relation': 'hosts'}]"
177.122.8.0/24,ISP_X,Brazil,Sao Paulo,Field Office,High,2024-03-12,1,Confidential,Internal,12,Suspicious login attempts detected,"[{'source': '177.122.8.0/24', 'target': 'ISP_X', 'relation': 'belongs_to'}, {'source': '177.122.8.1', 'target': '177.122.8.0/24', 'relation': 'part_of'}, {'source': '177.122.8.2', 'target': '177.122.8.0/24', 'relation': 'part_of'}, {'source': 'Field_Office_Brazil', 'target': '177.122.8.0/24', 'relation': 'connected_to'}]"
203.0.113.0/24,Cloudflare,Singapore,Singapore,VPN Gateway,Medium,2024-03-17,1,Public,Restricted,8,,"[{'source': 'VPN_Gateway_Singapore', 'target': '203.0.113.0/24', 'relation': 'provides_access'}]"
